,PortfolioValue_min,PortfolioValue_max,PortfolioValue_mean,PortfolioValue_std,PortfolioValue_end,PortfolioValue_1st,PortfolioValue_median,PortfolioValue_3rd,CumulativeProfit_min,CumulativeProfit_max,CumulativeProfit_mean,CumulativeProfit_std,CumulativeProfit_end,CumulativeProfit_1st,CumulativeProfit_median,CumulativeProfit_3rd
38,10168.731894531264,38570.697402343765,18220.245279372088,7382.928556984515,10620.39095703126,11656.75080078126,15641.90056640627,22342.493085937505,-1856.3647265625002,0.0,-682.813265478668,533.215110943322,-1340.05208984375,-915.2152148437501,-635.8391601562497,-307.04033203124976
39,9478.837988281239,37735.482167968745,15970.20492762665,7119.5498722319035,13067.753378906235,10262.746582031239,13035.12708984374,20054.837324218744,-2049.47658203125,0.0,-807.0655709384755,547.5400891219952,-30.900214843749993,-905.87564453125,-720.4712695312503,-545.8586523437501
40,8438.076132812512,52316.45468750002,21427.824187695118,10662.766637256755,13833.865703125062,13291.229765625012,18842.103320312504,27091.253359375,-3123.949218749999,0.0,-1067.9210135519634,669.5437979351741,-3123.949218749999,-1574.5661328124984,-903.4983203124992,-646.389453125
41,9917.81375,50100.17066406252,21195.25125672721,9753.012162493931,15368.847929687541,13026.395078125002,18789.3564453125,26160.4811328125,-2701.56125,0.0,-827.6723951084482,611.2870687284881,-2701.56125,-1389.4187109374998,-623.8959374999998,-367.6020703124998
42,8944.881132812521,43077.461171875046,20092.963893893102,8880.156378779957,11969.30664062503,12221.553828125,18528.420625000024,25934.749570312528,-2599.6464062500004,0.0,-1019.6479731399583,662.1306168373128,-2599.6464062500004,-1669.1382031249998,-797.4733203125002,-508.70146484375005
43,9819.458300781249,39580.61498046875,19522.79235799704,7810.809572623639,11764.421308593752,12120.279980468753,18271.550136718746,24858.88732421875,-2513.2307617187494,0.0,-1052.1763015413628,686.4696081842021,-2513.2307617187494,-1836.9386914062488,-734.8886132812496,-543.72904296875
44,8906.978554687506,35113.32183593751,16178.607061918743,6919.750428070328,11061.903085937505,10480.875820312505,13888.080742187516,20465.613496093756,-1455.0812499999995,16.348164062499862,-633.6486156388202,446.6227879794151,16.348164062499862,-972.8519140625,-571.9612109374999,-322.88591796874994
45,9029.453066406257,47995.51791015631,20468.011074869133,9134.471427253326,12348.260839843811,12833.619902343751,18484.829472656253,26853.305683593753,-3295.515488281248,0.0,-1207.3350305264694,729.5093155170421,-3295.515488281248,-2008.5893945312498,-924.4366992187496,-749.3830273437501
46,9875.754003906266,46648.84091796876,20740.7550333515,8822.210888671802,14462.740527343765,13441.40935546875,19239.035859375,26357.85884765625,-3222.500957031249,0.0,-979.5175773933403,693.4518984382258,-3222.500957031249,-1663.1134960937495,-772.2699023437501,-423.2833398437501
47,9177.253007812507,50155.66875000003,20914.38338608059,9698.679197323474,14455.795468750044,12935.24351562501,18810.641953125014,27344.613046875013,-2708.8783984375004,0.0,-805.2924119569454,593.0141910167663,-2708.8783984375004,-1279.1319140624996,-614.3768554687498,-379.9191796874998
